probeset_ID,REFSEQ,probbeset_Name,repertoire,functional_region,subregion_chr_location,element_chr_location,CHR,CHRLOC,CHRLOCEND,organisme,id_dfam,superFamily_dfam,simple_family
virus-AJ288584-L,,AJ288584,virus,Largest,,,,,,Porcine endogenous retrovirus,,,
virus-AJ288585-L,,AJ288585,virus,Largest,,,,,,Porcine endogenous retrovirus,,,
virus-AJ288586-L,,AJ288586,virus,Largest,,,,,,Porcine endogenous retrovirus,,,
virus-AJ288587-L,,AJ288587,virus,Largest,,,,,,Porcine endogenous retrovirus,,,
virus-AJ288589-L,,AJ288589,virus,Largest,,,,,,Porcine endogenous retrovirus,,,
